Unnamed: 0,Reaction ID,Reaction (Long),Reaction (short),Reversible,Gene,Enzyme,Subsystem,TurnoverNumber
,R02018,dUDP + NADP+ + H2O = NADPH + UDP,C01346 + C00006 + C00001 <=> C00005 + C00015,True,NZ_AEYC01000020.1:120671..121747 or complement(NZ_AEYC01000018.1:277368..280196) or complement(NZ_AEYC01000034.1:88573..89547),1.17.4.1,rn00240,
,R02326,ATP + dCDP = ADP + dCTP,C00002 + C00705 <=> C00008 + C00458,True,ndk,2.7.4.6,rn00240,232
,R01137,ATP + dADP = ADP + dATP,C00002 + C00206 <=> C00008 + C00131,True,ndk,2.7.4.6,rn00230,232
,R01855,dGTP + H2O = dGMP + Diphosphate,C00286 + C00001 <=> C00362 + C00013,False,,3.6.1.19,rn00230,
,R00426,GTP + H2O = GMP + Diphosphate,C00044 + C00001 <=> C00144 + C00013,False,,3.6.1.8         3.6.1.19,rn00230,
,R00662,UTP + H2O = UMP + Diphosphate,C00075 + C00001 <=> C00105 + C00013,False,,3.6.1.8         3.6.1.19,rn00240,
,R00963,UMP + H2O = Uridine + Orthophosphate,C00105 + C00001 <=> C00299 + C00009,False,,3.1.3.5,rn00230,
,R00511,CMP + H2O = Cytidine + Orthophosphate,C00055 + C00001 <=> C00475 + C00009,False,,3.1.3.5,rn00240,
,R02100,dUTP + H2O = dUMP + Diphosphate,C00460 + C00001 <=> C00365 + C00013,False,,3.6.1.19        3.6.1.23,rn00240,
,R02090,ATP + dGMP = ADP + dGDP,C00002 + C00362 <=> C00008 + C00361,False,,2.7.4.8         2.7.4.12,rn00230,
,R00568,CTP + H2O = UTP + NH3,C00063 + C00001 <=> C00075 + C00014,False,dcd,3.5.4.13,rn00240,
,R01547,ATP + dAMP = ADP + dADP,C00002 + C00360 <=> C00008 + C00206,True,NZ_AEYC01000083.1:49507..50256,2.7.4.3         2.7.4.11,rn00230,
"Amino acid synthesis    2.L-GLU ,D-GLU,D-GLN",R00256,L-Glutamine + H2O = L-Glutamate + NH3,C00064 + C00001 <=> C00025 + C00014,False,,3.5.1.2         3.5.1.38        6.3.5.4         6.3.5.5,rn00250  rn00330  rn00471  rn00910,
,R00260,L-Glutamate = D-Glutamate,C00025 <=> C00217,True,complement(NZ_AEYC01000014.1:64384..65199),5.1.1.3,rn00471,0.0023
,R01579,D-Glutamine + H2O = D-Glutamate + NH3,C00819 + C00001 <=> C00217 + C00014,False,,3.5.1.2         3.5.1.35        3.5.1.38,rn00471,
,R03193,ATP + UDP-N-acetylmuramate + L-Alanine = ADP + Orthophosphate +UDP-N-acetylmuramoyl-L-alanine,C00002 + C01050 + C00041 <=> C00008 + C00009 + C01212,False,murC,6.3.2.8,rn00471  rn00550,
,R02783,ATP + UDP-N-acetylmuramoyl-L-alanine + D-Glutamate = ADP + Orthophosphate + UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,C00002 + C01212 + C00217 <=> C00008 + C00009 + C00692,False,,6.3.2.9,rn00471  rn00550,
"2.L-ARG,L-PRO",R00707,(S)-1-Pyrroline-5-carboxylate + NAD+ + 2 H2O = L-Glutamate + NADH+ H+,C03912 + C00003 + 2 C00001 <=> C00025 + C00004 + C00080,True,,1.5.1.12,rn00250  rn00330,
,R01248,L-Proline + NAD+ = (S)-1-Pyrroline-5-carboxylate + NADH + H+,C00148 + C00003 <=> C03912 + C00004 + C00080,True,,1.5.1.2,rn00330,212.8
,R00259,Acetyl-CoA + L-Glutamate = CoA + N-Acetyl-L-glutamate,C00024 + C00025 <=> C00010 + C00624,False,,2.3.1.1,rn00330,0.22
,R02649,ATP + N-Acetyl-L-glutamate = ADP + N-Acetyl-L-glutamate5-phosphate,C00002 + C00624 <=> C00008 + C04133,False,complement(NZ_AEYC01000076.1:7205..8122),2.7.2.8,rn00330,7.7
,R03443,-Acetyl-L-glutamate 5-phosphate + NADPH + H+ = N-Acetyl-L-glutamate 5-semialdehyde + Orthophosphate + NADP+,C04133 + C00005 + C00080 <=> C01250 + C00009 + C00006,False,argC,1.2.1.38,rn00330,
,R02283,N-Acetylornithine + 2-Oxoglutarate = N-Acetyl-L-glutamate5-semialdehyde + L-Glutamate,C00437 + C00026 <=> C01250 + C00025,True,complement(NZ_AEYC01000076.1:6015..7205),2.6.1.11,rn00330,
,R02282,N-Acetylornithine + L-Glutamate = L-Ornithine +N-Acetyl-L-glutamate,C00437 + C00025 <=> C00077 + C00624,True,argJ,2.3.1.35,rn00330,
,R00245,L-Glutamate 5-semialdehyde + NAD+ + H2O = L-Glutamate + NADH + H+,C01165 + C00003 + C00001 <=> C00025 + C00004 + C00080,True,,1.5.1.12,rn00330,
,R00667,L-Ornithine + 2-Oxoglutarate = L-Glutamate 5-semialdehyde +L-Glutamate,C00077 + C00026 <=> C01165 + C00025,False,,2.6.1.13,rn00330,0.0333
,R00671,L-Ornithine = L-Proline + NH3,C00077 <=> C00148 + C00014,False,,4.3.1.12,rn00330,
,R00239,ATP + L-Glutamate = ADP + L-Glutamyl 5-phosphate,C00002 + C00025 <=> C00008 + C03287,False,,2.7.2.11,rn00330,11.7
,R03313,L-Glutamate 5-semialdehyde + Orthophosphate + NADP+ = L-Glutamyl5-phosphate + NADPH + H+,C01165 + C00009 + C00006 <=> C03287 + C00005 + C00080,True,complement(NZ_AEYC01000019.1:287262..288608),1.2.1.41,rn00330,
,R01398,Carbamoyl phosphate + L-Ornithine = Orthophosphate + L-Citrulline,C00169 + C00077 <=> C00009 + C00327,False,,2.1.3.3,rn00330,0.48
,R01954,ATP + L-Citrulline + L-Aspartate = AMP + Diphosphate +N-(L-Arginino)succinate,C00002 + C00327 + C00049 <=> C00020 + C00013 + C03406,False,complement(NZ_AEYC01000066.1:67533..68984),6.3.4.5,rn00250  rn00330,
,R01086,N-(L-Arginino)succinate = Fumarate + L-Arginine,C03406 <=> C00122 + C00062,False,,4.3.2.1,rn00250  rn00330,
"3.L-ALA,L-ASP,L-ASN,L-GLU",R00578,ATP + L-Aspartate + L-Glutamine + H2O = AMP + Diphosphate + L-Asparagine + L-Glutamate,C00002 + C00049 + C00064 + C00001 <=> C00020 + C00013 + C00152 + C00025,False,,6.3.5.4,rn00250  rn00910,0.43
,R00485,L-Asparagine + H2O = L-Aspartate + NH3,C00152 + C00001 <=> C00049 + C00014,False,,3.5.1.1         3.5.1.38,rn00250  rn00460  rn00910,
,R00483,ATP + L-Aspartate + NH3 = AMP + Diphosphate + L-Asparagine,C00002 + C00049 + C00014 <=> C00020 + C00013 + C00152,False,,6.3.1.1         6.3.5.4,rn00250  rn00460  rn00910,
,R00369,L-Alanine + Glyoxylate = Pyruvate + Glycine,C00041 + C00048 <=> C00022 + C00037,False,,2.6.1.44,rn00250,0.07
,R00355,L-Aspartate + 2-Oxoglutarate = Oxaloacetate + L-Glutamate,C00049 + C00026 <=> C00036 + C00025,True,NZ_AEYC01000092.1:39551..40780 or complement(NZ_AEYC01000088.1:123824..125062) or NZ_AEYC01000038.1:62797..64023 or complement(NZ_AEYC01000022.1:36426..37646),2.6.1.1,rn00250  rn00710,0.13
4.L-LYS,R00480,ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate,C00002 + C00049 <=> C00008 + C03082,False,NZ_AEYC01000030.1:34769..35542,2.7.2.4,rn00260  rn00270  rn00300,0.31
,R02291,4-Phospho-L-aspartate + NADPH + H+ = L-Aspartate 4-semialdehyde + Orthophosphate + NADP+,C03082 + C00005 + C00080 <=> C00441 + C00009 + C00006,False,,1.2.1.11,rn00260  rn00270  rn00300,
,R02292,"L-Aspartate 4-semialdehyde + Pyruvate = L-2,3-Dihydrodipicolinate + 2 H2O",C00441 + C00022 <=> C03340 + 2 C00001,False,NZ_AEYC01000034.1:2334..3263,4.2.1.52,rn00300,
,R04198,"2,3,4,5-Tetrahydrodipicolinate + NAD+ = L-2,3-Dihydrodipicolinate+ NADH + H+",C03972 + C00003 <=> C03340 + C00004 + C00080,True,NZ_AEYC01000004.1:14966..15718,1.3.1.26,rn00300,
,R04365,"Succinyl-CoA + 2,3,4,5-Tetrahydrodipicolinate + H2O = CoA +N-Succinyl-2-L-amino-6-oxoheptanedioate",C00091 + C03972 + C00001 <=> C00010 + C04462,False,,2.3.1.117,rn00300,0.22
,R04475,"N-Succinyl-LL-2,6-diaminoheptanedioate + 2-Oxoglutarate =N-Succinyl-2-L-amino-6-oxoheptanedioate + L-Glutamate",C04421 + C00026 <=> C04462 + C00025,True,,2.6.1.17,rn00300,
,R02734,"N-Succinyl-LL-2,6-diaminoheptanedioate + H2O = Succinate +LL-2,6-Diaminoheptanedioate",C04421 + C00001 <=> C00042 + C00666,False,complement(NZ_AEYC01000015.1:4160..5236),3.5.1.18,rn00300,0.0555
,R02735,"LL-2,6-Diaminoheptanedioate = meso-2,6-Diaminoheptanedioate",C00666 <=> C00680,True,,5.1.1.7,rn00300,128
,R00451,"meso-2,6-Diaminoheptanedioate = L-Lysine + CO2",C00680 <=> C00047 + C00011,False,,4.1.1.20,rn00300,0.07
"5.L-GLY,L-SER,L-THR",R01773,L-Homoserine + NAD+ = L-Aspartate 4-semialdehyde + NADH + H+,C00263 + C00003 <=> C00441 + C00004 + C00080,True,NZ_AEYC01000001.1:160937..162241,1.1.1.3,rn00260  rn00270  rn00300,0.042
,R01771,ATP + L-Homoserine = ADP + O-Phospho-L-homoserine,C00002 + C00263 <=> C00008 + C01102,False,,2.7.1.39,rn00260,14.2
,R01466,O-Phospho-L-homoserine + H2O = L-Threonine + Orthophosphate,C01102 + C00001 <=> C00188 + C00009,False,complement(NZ_AEYC01000070.1:87860..89131) or NZ_AEYC01000019.1:278826..280094,4.2.3.1,rn00260,0.8
,R00751,L-Threonine = Glycine + Acetaldehyde,C00188 <=> C00037 + C00084,True,,4.1.2.5,rn00260,
,R01513,3-Phospho-D-glycerate + NAD+ = 3-Phosphonooxypyruvate + NADH + H+,C00197 + C00003 <=> C03232 + C00004 + C00080,True,,1.1.1.95,rn00260  rn00680,0.075
,R04173,O-Phospho-L-serine + 2-Oxoglutarate = 3-Phosphonooxypyruvate + L-Glutamate,C01005 + C00026 <=> C03232 + C00025,True,argD,2.6.1.52,rn00260  rn00680,0.012
,R00582,O-Phospho-L-serine + H2O = L-Serine + Orthophosphate,C01005 + C00001 <=> C00065 + C00009,False,,3.1.3.3,rn00260  rn00680,0.0073
,R00588,L-Serine + Glyoxylate = Hydroxypyruvate + Glycine,C00065 + C00048 <=> C00168 + C00037,True,,2.6.1.45,rn00260  rn00680,2.03
,R00945,"Tetrahydrofolate+ L-Serine = 5,10-Methylenetetrahydrofolate + Glycine + H2O",C00101 + C00065 <=> C00143 + C00037 + C00001,False,glyA,2.1.2.1,rn00260  rn00460  rn00670  rn00680,
,R09099,"L-Serine + 5,6,7,8-Tetrahydromethanopterin = 5,10-Methylenetetrahydromethanopterin + Glycine + H2O",C00065 + C01217 <=> C04377 + C00037 + C00001,True,glyA,2.1.2.1,rn00680,0.01
,R00891,L-Serine + Hydrogen sulfide = L-Cysteine + H2O,C00065 + C00283 <=> C00097 + C00001,False,,4.2.1.22,rn00260,0.052
"6.L-CYS,L-MET",R00586,L-Serine + Acetyl-CoA = O-Acetyl-L-serine + CoA,C00065 + C00024 <=> C00979 + C00010,False,,2.3.1.30,rn00270  rn00920,0.48
,R00897,O-Acetyl-L-serine + Hydrogen sulfide = L-Cysteine + Acetate,C00979 + C00283 <=> C00097 + C00033,False,,2.5.1.47        2.5.1.65,rn00270  rn00920,
,R03132,O-Acetyl-L-serine + Thiosulfate = S-Sulfo-L-cysteine + Acetate,C00979 + C00320 <=> C05824 + C00033,False,,2.5.1.47        2.5.1.48,rn00270,
,R08632,L-Cystathionine = L-Cysteine + 2-Aminobut-2-enoate,C02291 <=> C00097 + C17234,True,NZ_AEYC01000001.1:311535..312641,4.4.1.1,not exist,0.02
,R08637,2-Aminobut-2-enoate + H2O = 2-Oxobutanoate + NH3,C17234 + C00001 <=> C00109 + C00014,True,NZ_AEYC01000001.1:311535..312641,4.4.1.1         4.4.1.2         4.4.1.11,not exist,
,R01286,L-Cystathionine + H2O = L-Homocysteine + NH3 + Pyruvate,C02291 + C00001 <=> C00155 + C00014 + C00022,False,,4.4.1.8,rn00270,
,R01290,L-Cystathionine + H2O = L-Serine + L-Homocysteine,C02291 + C00001 <=> C00065 + C00155,False,,4.2.1.22,rn00260  rn00270,0.0045
,R00650,S-Adenosyl-L-methionine + L-Homocysteine = S-Adenosyl-L-homocysteine + L-Methionine,C00019 + C00155 <=> C00021 + C00073,False,mmuM,2.1.1.10,rn00270,0.38
,R00946,5-Methyltetrahydrofolate + L-Homocysteine = Tetrahydrofolate + L-Methionine,C00440 + C00155 <=> C00101 + C00073,False,,2.1.1.13,rn00270  rn00670,8.33
,R04405,5-Methyltetrahydropteroyltri-L-glutamate + L-Homocysteine = Tetrahydropteroyltri-L-glutamate + L-Methionine,C04489 + C00155 <=> C04144 + C00073,False,complement(NZ_AEYC01000039.1:34861..37176) or complement(NZ_AEYC01000008.1:153020..155296),2.1.1.14,rn00270,0.33
"7.L-VAL,L-LEU,L-ILE",R08648,Pyruvate + 2-Oxobutanoate = (S)-2-Aceto-2-hydroxybutanoate + CO2,C00022 + C00109 <=> C06006 + C00011,False,NZ_AEYC01000083.1:41224..42981 or NZ_AEYC01000001.1:285399..285905 or NZ_AEYC01000001.1:283645..285390,2.2.1.6,not exist,0.0026
,R05069,(S)-2-Aceto-2-hydroxybutanoate =(R)-3-Hydroxy-3-methyl-2-oxopentanoate,C06006 <=> C14463,True,NZ_AEYC01000001.1:286052..287047 or NZ_AEYC01000088.1:411799..412812,1.1.1.86        5.4.99.3,rn00290,
,R05068,"(R)-2,3-Dihydroxy-3-methylpentanoate + NADP+ =(R)-3-Hydroxy-3-methyl-2-oxopentanoate + NADPH + H+",C06007 + C00006 <=> C14463 + C00005 + C00080,True,NZ_AEYC01000001.1:286052..287047 or NZ_AEYC01000088.1:411799..412812,1.1.1.86,rn00290,
,R05070,"(R)-2,3-Dihydroxy-3-methylpentanoate = (S)-3-Methyl-2-oxopentanoicacid + H2O",C06007 <=> C00671 + C00001,False,NZ_AEYC01000023.1:47115..48809 or NZ_AEYC01000021.1:57863..59557 or complement(NZ_AEYC01000020.1:121967..123667) or complement(NZ_AEYC01000001.1:280402..282246),4.2.1.9,rn00290,
,R02199,(S)-3-Methyl-2-oxopentanoic acid +L-Glutamate = L-Isoleucine + 2-Oxoglutarate,C00671 + C00025 <=> C00407 + C00026,False,,2.6.1.42,rn00280  rn00290  rn00966,
,R00226,(S)-2-Acetolactate + CO2 = 2 Pyruvate,C06010 + C00011 <=> 2 C00022,True,NZ_AEYC01000083.1:41224..42981 or NZ_AEYC01000001.1:285399..285905 or NZ_AEYC01000001.1:283645..285390,2.2.1.6,rn00660,
,R04439,"(R)-2,3-Dihydroxy-3-methylbutanoate + NADP+ = (S)-2-Acetolactate +NADPH + H+",C04272 + C00006 <=> C06010 + C00005 + C00080,True,NZ_AEYC01000001.1:286052..287047 or NZ_AEYC01000088.1:411799..412812,1.1.1.86,not exist,0.00015
,R04441,"(R)-2,3-Dihydroxy-3-methylbutanoate = 3-Methyl-2-oxobutanoic acid + H2O",C04272 <=> C00141 + C00001,False,NZ_AEYC01000023.1:47115..48809 or NZ_AEYC01000021.1:57863..59557 or complement(NZ_AEYC01000020.1:121967..123667) or complement(NZ_AEYC01000001.1:280402..282246),4.2.1.9,rn00290,
,R01214,3-Methyl-2-oxobutanoic acid + L-Glutamate = L-Valine + 2-Oxoglutarate,C00141 + C00025 <=> C00183 + C00026,False,,2.6.1.6         2.6.1.42,rn00280  rn00290  rn00770  rn00966,
,R01215,L-Valine + Pyruvate = 3-Methyl-2-oxobutanoic acid + L-Alanine,C00183 + C00022 <=> C00141 + C00041,True,,2.6.1.66,rn00290,
,R01213,Acetyl-CoA + 3-Methyl-2-oxobutanoicacid + H2O = (2S)-2-Isopropylmalate + CoA,C00024 + C00141 + C00001 <=> C02504 + C00010,False,,2.3.3.13,rn00290  rn00620,0.03
,R03968,(2S)-2-Isopropylmalate = 2-Isopropylmaleate + H2O,C02504 <=> C02631 + C00001,True,,4.2.1.33,rn00290,
,R04001,"(2R,3S)-3-Isopropylmalate = 2-Isopropylmaleate + H2O",C04411 <=> C02631 + C00001,True,,4.2.1.33,rn00290,
,R04426,"(2R,3S)-3-Isopropylmalate + NAD+ = (2S)-2-Isopropyl-3-oxosuccinate+ NADH + H+",C04411 + C00003 <=> C04236 + C00004 + C00080,True,,1.1.1.85,rn00290,0.0025
,R01652,(2S)-2-Isopropyl-3-oxosuccinate = 4-Methyl-2-oxopentanoate + CO2,C04236 <=> C00233 + C00011,False,,,rn00290,
,R01090,L-Leucine + 2-Oxoglutarate = 4-Methyl-2-oxopentanoate + L-Glutamate,C00123 + C00026 <=> C00233 + C00025,True,,2.6.1.6         2.6.1.42        2.6.1.67,rn00280  rn00290  rn00966,
8.L-HIS,R01071,ATP + 5-Phospho-alpha-D-ribose 1-diphosphate = 1-(5-Phospho-D-ribosyl)-ATP + Diphosphate,C00002 + C00119 <=> C02739 + C00013,False,hisG,2.4.2.17,rn00340,0.024
,R04035,1-(5-Phospho-D-ribosyl)-ATP + H2O = Phosphoribosyl-AMP + Diphosphate,C02739 + C00001 <=> C02741 + C00013,False,,3.6.1.31,rn00340,
,R04037,Phosphoribosyl-AMP + H2O = 5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide,C02741 + C00001 <=> C04896,False,hisI,3.5.4.19,rn00340,
,R04640,5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide = N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide,C04896 <=> C04916,True,NZ_AEYC01000004.1:141212..141943,5.3.1.16,rn00340,
,R04558,N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide + L-Glutamine = D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + L-Glutamate,C04916 + C00064 <=> C04666 + C04677 + C00025,False,,2.4.2.-         4.1.3.-,rn00340,
,R03457,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate = 3-(Imidazol-4-yl)-2-oxopropyl phosphate + H2O,C04666 <=> C01267 + C00001,False,,4.2.1.19,rn00340,1000
,R03243,L-Histidinol phosphate + 2-Oxoglutarate = 3-(Imidazol-4-yl)-2-oxopropyl phosphate + L-Glutamate,C01100 + C00026 <=> C01267 + C00025,True,NZ_AEYC01000004.1:131214..132173,2.6.1.9,rn00340,0.046
,R03013,L-Histidinol phosphate + H2O = L-Histidinol + Orthophosphate,C01100 + C00001 <=> C00860 + C00009,False,,3.1.3.15,rn00340,0.013
,R01158,L-Histidinol + 2 NAD+ + H2O = L-Histidine + 2 NADH + 2 H+,C00860 + 2 C00003 + C00001 <=> C00135 + 2 C00004 + 2 C00080,True,hisD,1.1.1.23,not exist,1.1
"9.L-PHE,L-TRP,L-TYR",R01826,Phosphoenolpyruvate + D-Erythrose 4-phosphate + H2O = 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate + Orthophosphate,C00074 + C00279 + C00001 <=> C04691 + C00009,False,,2.5.1.54,rn00400,0.0035
,R03083,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate = 3-Dehydroquinate + Orthophosphate,C04691 <=> C00944 + C00009,False,NZ_AEYC01000001.1:86532..87635 or complement(NZ_AEYC01000054.1:43256..44365) or NZ_AEYC01000023.1:78792..79892,4.2.3.4,rn00400,
,R03084,3-Dehydroquinate = 3-Dehydroshikimate + H2O,C00944 <=> C02637 + C00001,True,,4.2.1.10,rn00400,0.015
,R02413,Shikimate + NADP+ = 3-Dehydroshikimate + NADPH + H+,C00493 + C00006 <=> C02637 + C00005 + C00080,True,aroE,1.1.1.25        1.1.1.282,rn00400,
,R02412,ATP + Shikimate = ADP + Shikimate 3-phosphate,C00002 + C00493 <=> C00008 + C03175,False,,2.7.1.71,rn00400,23
,R03460,Phosphoenolpyruvate + Shikimate 3-phosphate = Orthophosphate +5-O-(1-Carboxyvinyl)-3-phosphoshikimate,C00074 + C03175 <=> C00009 + C01269,True,complement(NZ_AEYC01000001.1:5879..7147),2.5.1.19,rn00400,-999
,R01714,5-O-(1-Carboxyvinyl)-3-phosphoshikimate = Chorismate +Orthophosphate,C01269 <=> C00251 + C00009,False,complement(NZ_AEYC01000054.1:44984..46177),4.2.3.5,rn00400,
,R01715,Chorismate = Prephenate,C00251 <=> C00254,True,,5.4.99.5,rn00400,0.0003
,R01373,Prephenate = Phenylpyruvate + H2O + CO2,C00254 <=> C00166 + C00001 + C00011,True,,4.2.1.51        4.2.1.91,rn00400,
,R00694,L-Phenylalanine + 2-Oxoglutarate = Phenylpyruvate + L-Glutamate,C00079 + C00026 <=> C00166 + C00025,True,(NZ_AEYC01000092.1:39551..40780 or C-NZ_AEYC01000088.1:123824..125062 or NZ_AEYC01000038.1:62797..64023 or C-NZ_AEYC01000022.1:36426..37646) or NZ_AEYC01000004.1:131214..132173 or (NZ_AEYC01000092.1:39551..40780 or C-NZ_AEYC01000088.1:123824..125062 or NZ_AEYC01000038.1:62797..64023 or C-NZ_AEYC01000022.1:36426..37646),2.6.1.1         2.6.1.5         2.6.1.9         2.6.1.57,rn00360  rn00400  rn00960,
,R01728,Prephenate + NAD+ = 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADH + H+,C00254 + C00003 <=> C01179 + C00011 + C00004 + C00080,False,complement(NZ_AEYC01000029.1:108522..109523),1.3.1.12,rn00400  rn00401,0.00005
,R00734,L-Tyrosine + 2-Oxoglutarate = 3-(4-Hydroxyphenyl)pyruvate + L-Glutamate,C00082 + C00026 <=> C01179 + C00025,True,(NZ_AEYC01000092.1:39551..40780 or C-NZ_AEYC01000088.1:123824..125062 or NZ_AEYC01000038.1:62797..64023 or C-NZ_AEYC01000022.1:36426..37646) or NZ_AEYC01000004.1:131214..132173 or (NZ_AEYC01000092.1:39551..40780 or C-NZ_AEYC01000088.1:123824..125062 or NZ_AEYC01000038.1:62797..64023 or C-NZ_AEYC01000022.1:36426..37646),2.6.1.1         2.6.1.5         2.6.1.9         2.6.1.57,rn00130  rn00350  rn00400  rn00401  rn00950,
,R00986,Chorismate + L-Glutamine = Anthranilate + Pyruvate + L-Glutamate,C00251 + C00064 <=> C00108 + C00022 + C00025,False,NZ_AEYC01000004.1:143818..145395,4.1.3.27,rn00400,0.0061
,R00985,Chorismate + NH3 = Anthranilate + Pyruvate + H2O,C00251 + C00014 <=> C00108 + C00022 + C00001,False,NZ_AEYC01000004.1:143818..145395,4.1.3.27,rn00400,0.0061
,R01073,Anthranilate +5-Phospho-alpha-D-ribose 1-diphosphate = N-(5-Phospho-D-ribosyl)anthranilate + Diphosphate,C00108 + C00119 <=> C04302 + C00013,True,,2.4.2.18,rn00400,
,R03509,N-(5-Phospho-D-ribosyl)anthranilate =1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,C04302 <=> C01302,True,,5.3.1.24,rn00400,
,R03508,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate =Indoleglycerol phosphate + CO2 + H2O,C01302 <=> C03506 + C00011 + C00001,True,trpC,4.1.1.48,rn00400,
,R02722,L-Serine + Indoleglycerol phosphate = L-Tryptophan +D-Glyceraldehyde 3-phosphate + H2O,C00065 + C03506 <=> C00078 + C00118 + C00001,False,NZ_AEYC01000088.1:315650..317014 or complement(NZ_AEYC01000023.1:105113..106303),4.2.1.20,rn00260  rn00400,-999
"Pyruvate metabolism

",R00209,Pyruvate + CoA + NAD+ = Acetyl-CoA + CO2 + NADH + H+,C00022 + C00010 + C00003 <=> C00024 + C00011 + C00004 + C00080,False,NZ_AEYC01000023.1:41338..41667 or NZ_AEYC01000019.1:16163..17533,1.2.4.1         1.8.1.4         2.3.1.12,not exist,
,R00235,ATP + Acetate + CoA = AMP + Diphosphate + Acetyl-CoA,C00002 + C00033 + C00010 <=> C00020 + C00013 + C00024,False,NZ_AEYC01000066.1:96373..98328 or complement(NZ_AEYC01000030.1:89420..91402),6.2.1.1,rn00010  rn00680  rn00720,0.3
,R00710,Acetaldehyde + NAD+ + H2O = Acetate + NADH + H+,C00084 + C00003 + C00001 <=> C00033 + C00004 + C00080,True,,1.2.1.3         1.2.1.5,rn00010  rn00620,
,R00199,ATP + Pyruvate + H2O = AMP + Phosphoenolpyruvate + Orthophosphate,C00002 + C00022 + C00001 <=> C00020 + C00074 + C00009,False,,2.7.9.2,rn00620  rn00680  rn00720,0.25
,R00197,(R)-Lactate + 2 Ferricytochrome c = Pyruvate + 2 Ferrocytochrome c+ 2 H+,C00256 + 2 C00125 <=> C00022 + 2 C00126 + 2 C00080,True,,1.1.2.4,rn00620,2.6
,R00196,(S)-Lactate + 2 Ferricytochrome c = Pyruvate + 2 Ferrocytochrome c+ 2 H+,C00186 + 2 C00125 <=> C00022 + 2 C00126 + 2 C00080,True,,1.1.2.3,rn00620,0.51
,R00214,(S)-Malate + NAD+ = Pyruvate + CO2 + NADH + H+,C00149 + C00003 <=> C00022 + C00011 + C00004 + C00080,False,,1.1.1.38        1.1.1.39,rn00620  rn00710,
,R01736,(R)-S-Lactoylglutathione + H2O = Glutathione + (R)-Lactate,C03451 + C00001 <=> C00051 + C00256,False,,3.1.2.6,rn00620,
,R03145,NAD+ + Pyruvate + H2O = NADH + H+ + Acetate + CO2,C00003 + C00022 + C00001 <=> C00004 + C00080 + C00033 + C00011,True,,1.2.5.1,rn00620,167
,R00319,(S)-Lactate + Oxygen = Acetate + CO2 + H2O,C00186 + C00007 <=> C00033 + C00011 + C00001,False,,1.13.12.4,rn00620,0.0148
,R00361,(S)-Malate + Acceptor = Oxaloacetate + Reduced acceptor,C00149 + C00028 <=> C00036 + C00030,True,,1.1.5.4,not exist,7.35
,R00238,2 Acetyl-CoA = CoA + Acetoacetyl-CoA,2 C00024 <=> C00010 + C00332,True,complement(NZ_AEYC01000088.1:423760..424932) or complement(NZ_AEYC01000088.1:106778..107956) or NZ_AEYC01000076.1:69490..69840 or complement(NZ_AEYC01000072.1:37204..38487) or complement(NZ_AEYC01000066.1:38264..38869) or NZ_AEYC01000063.1:141962..143170 or NZ_AEYC01000018.1:27183..28394 or NZ_AEYC01000017.1:17231..18451 or complement(NZ_AEYC01000001.1:440887..441744) or NZ_AEYC01000001.1:220457..221695 or NZ_AEYC01000001.1:123218..124432,2.3.1.9,rn00071  rn00072  rn00280  rn00310  rn00362 rn00380  rn00620  rn00630  rn00640  rn00650  rn00720  rn000900,2.1
,R00742,ATP + Acetyl-CoA + HCO3- = ADP + Orthophosphate + Malonyl-CoA,C00002 + C00024 + C00288 <=> C00008 + C00009 + C00083,False,,6.4.1.2,rn00253  rn00620  rn00640  rn00720,0.155
Glyoxylate metabolism pathway,R00479,Isocitrate = Succinate + Glyoxylate,C00311 <=> C00042 + C00048,,,,,
,R00472,Acetyl-CoA + H2O + Glyoxylate = (S)-Malate + CoA,C00024 + C00001 + C00048 <=> C00149 + C00010,,,,,
Gluconeogenesis,R00344,ATP + Pyruvate + HCO3- = ADP + Orthophosphate + Oxaloacetate,C00002 + C00022 + C00288 <=> C00008 + C00009 + C00036,True,NZ_AEYC01000001.1:332438..335815,6.4.1.1,rn00020  rn00620  rn00720,0.0013
